source,package_code,package_name,price,cycle_days,data_gb,voice_minutes,sms_count,package_type,description,full_description,registration_syntax,cancellation_syntax,check_syntax,eligibility,renewal_policy,support_hotline,original_link
myvnpt,MI_D5,D5,5000,1,1.0,,,3,1GB Data sử dụng trong 24 giờ,"Ưu đãi: - 1GB Data sử dụng trong 24h giờ ((hết dung lượng tính cước theo gói cước M0 mặc định) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau (không bao gồm TB Ezcom) - Thuê bao trong danh sách quy định của nhà mạng. - TB đang đăng ký gói DATA/COMBO chu kỳ từ 1 tháng trở lên Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY D5 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080912425Artboard 49@3x.jpg
myvnpt,MI_D6V,D6V,6000,1,2.0,,,3,2GB Data Miễn phí truyền h&igrave;nh MyTV (bao gồm ch&ugrave;m kênh VTVCab),"Ưu đãi gói cước - 2GB Data - Miễn phí truyền h&igrave;nh MyTV (bao gồm ch&ugrave;m kênh VTVCab) Điều kiện đăng ký gói cước - Thuê bao di động trả trước, trả sau Gia hạn gói cước - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước - Cú pháp tra cứu: DATAKM gửi 888 Cách hủy gói cước - Cú pháp huỷ: HUY D6V gửi 888 Tổng đài hỗ trợ về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080556841Artboard 61@3x.jpg
myvnpt,MI_H6,H6,6000,0,6.0,,,3,- 6 GB data. Hết dung lượng dừng truy cập. - Miễn phí data truy cập ứng dụng TikTok - Thời hạn sử dụng gói: 6 giờ,"1. Ưu đãi gói cước - 6 GB data. Hết dung lượng dừng truy cập. - Miễn phí data truy cập ứng dụng TikTok - Thời hạn sử dụng gói: 6 giờ 2. Điều kiện đăng ký gói cước - Thuê bao di động VinaPhone trả trước được khởi tạo theo bộ SIM giới trẻ 3. Gia hạn gói cước - Gói cước không gia hạn tự động 4. Cách hủy gói cước: - Cú pháp huỷ: HUY H6 gửi 888 5. Kiểm tra ưu đãi c&ograve;n lại gói cước: - Cú pháp: DATAKM gửi 888 6. Quy định sử dụng gói cước - Ưu đãi miễn phí data truy cập ứng dụng TikTok không bao gồm lưu lượng sử dụng để truy cập các địa chỉ liên kết ngoài ứng dụng. Trên thực tế trong quá tr&igrave;nh sử dụng ứng dụng TikTok, người d&ugrave;ng có khả năng phát sinh lưu lượng Data của một số bên thứ ba như Apple, Messenger, Google,... Do đó, thuê bao vẫn có khả năng phát sinh cước data cho các lưu lượng truy cập này. 7. Tổng đài hỗ trợ về dịch vụ di động - Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1749524002439H6500x500.png
myvnpt,MI_D6SC,D6SC,6000,1,2.0,,,3,"- 2GB Data (hết lưu lượng, dừng truy cập) - Quyền lợi xem 120 kênh truyền h&igrave;nh đặc sắc bao gồm ch&ugrave;m kênh SCTV và kho nội dung phim truyền, VOD giải trí với hàng ngh&igrave;n video Full HD thuộc các thể loại trên MyTV Mobile.","1. Ưu đãi gói cước - 2GB Data (hết lưu lượng, dừng truy cập) - Quyền lợi xem 120 kênh truyền h&igrave;nh đặc sắc bao gồm ch&ugrave;m kênh SCTV và kho nội dung phim truyền, VOD giải trí với hàng ngh&igrave;n video Full HD thuộc các thể loại trên MyTV Mobile. 2. Điều kiện đăng ký gói cước - Thuê bao VinaPhone trả trước/trả sau hoạt động 2 chiều trên mạng VinaPhone 3. Gia hạn gói cước - Gói cước tự động gia hạn 4. Cách hủy gói cước: - Cú pháp huỷ: HUY D6SC gửi 888 5. Kiểm tra ưu đãi c&ograve;n lại của gói cước: - Cú pháp: DATAKM gửi 888 6. Quy định sử dụng gói cước - Danh sách kênh có thể thay đổi tuỳ theo quy định về bản quyền của nhà cung cấp dịch vụ nội dung. 7. Tổng đài hỗ trợ về dịch vụ di động - Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1748833812130D6SC500x500.png
myvnpt,MI_D7,D7,7000,1,1.2,,,3,1.2GB Data sử dụng trong 1 ngày,"Ưu đãi: - 1.2GB Data (hết dung lượng tính cước M0 75đ/50Kb) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau (không bao gồm TB Ezcom) Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY D7 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080601226Artboard 50@3x.jpg
myvnpt,MI_D10FT,D10FT,10000,1,2.0,,,3,"2GB Data/24h Miễn phí data truy cập Facebook, Tiktok","1. Ưu đãi gói cước - 2GB Data sử dụng trong 24 giờ - Miễn phí data truy cập Facebook (không bao gồm video call và audio call), Tiktok 2. Điều kiện đăng ký gói cước - Thuê bao trả trước và trả sau VinaPhone 3. Gia hạn gói cước - Gói cước tự động gia hạn 4. Cách hủy gói cước: - Cú pháp huỷ: HUY D10FT gửi 888 5. Kiểm tra thông tin gói cước: - Cú pháp: DATAKM gửi 888 6. Quy định sử dụng gói cước - Trên thực tế trong quá tr&igrave;nh sử dụng ứng dụng trên, người d&ugrave;ng có khả năng phát sinh lưu lượng Data của một số bên thứ ba như Apple, Google,... trong các thao tác đăng nhập,... Do đó, thuê bao vẫn có khả năng phát sinh cước data cho các lưu lượng truy cập này 7. Tổng đài hỗ trợ về dịch vụ di động - Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1742352887371D10FT 500x500.png
myvnpt,MI_D2,D2,10000,1,2.0,,,3,2GB Data sử dụng trong 24h,"Ưu đãi: 2GB Data sử dụng trong 24h (hết dung lượng tính cước theo quy định) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau (không bao gồm TB Ezcom) - TB đang không đăng ký gói DATA/COMBO chu kỳ từ 1 tháng trở lên Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY D2 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080836424Artboard 47@3x.jpg
myvnpt,MI_GAME10,GAME10,10000,1,7.0,,,3,"- 7GB Data (hết lưu lượng, dừng truy cập) - Quyền lợi Gameasy - 1.000 xu trên ontgame.vn","Ưu đãi: - 7GB Data sử dụng trong 24 giờ (hết lưu lượng, dừng truy cập) - Quyền lợi dịch vụ Gameasy: Chơi không giới hạn kho game cung cấp trên website/wapsite gameasy.vn - Quyền lợi dịch vụ CloudGaming: Nhận 1.000 xu vào tài khoản game để chơi các game trên website/wapsite ontgame.vn Điều kiện đăng ký gói cước: - Thuê bao trả trước, trả sau VinaPhone Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: TRACUU GAME10 gửi 888 Cách hủy gói: - Cú pháp hủy: HUY GAME10 gửi 888 Tổng đài hỗ trợ về dịch vụ di động - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1736155542494GAME10 500x500.jpg
myvnpt,MI_D15,D15,15000,1,5.0,,,3,5GB Data sử dụng trong 24 giờ,"Ưu đãi: 5GB Data sử dụng trong 24 giờ (hết dung lượng tính cước theo quy định) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau (không bao gồm TB Ezcom) Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY D15 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động: - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080937326D15@3x.jpg
myvnpt,KM_D3,D3,15000,3,3.0,,,3,3GB Data sử dụng trong 3 ngày,"Ưu đãi: 3GB Data (hết dung lượng tính cước theo quy định) Điều kiện đăng ký gói cước: - Áp dụng cho thuê bao di động trả trước, trả sau (không bao gồm TB Ezcom) - TB đang không đăng ký gói DATA/COMBO chu kỳ từ 1 tháng trở lên Gia hạn gói cước: - Gói cước tự động gia hạn. Cách kiểm tra các ưu đãi c&ograve;n lại của gói cước: - Cú pháp tra cứu: DATA gửi 888 Cách hủy gói cước: - Cú pháp huỷ: HUY D3 gửi 888 Tổng đài hỗ trợ khách hàng về dịch vụ di động: - Để được hỗ trợ về dịch vụ di động, Quý khách vui l&ograve;ng liên hệ 1800 1091 (miễn phí)",,,,,,1800 1091,https://api-myvnpt.vnpt.vn/vas/images/vasPkgs/1711080865460D3@3x.jpg
